State,Year,Metropolitan planning organizations
Alabama,2015,14
Alabama,2016,14
Alabama,2017,14
Alabama,2018,14
Alabama,2020,12
Alabama,2021,12
Alabama,2022,12
Alabama,2023,14
Alabama,2024,14
Alabama,2025,14
Alabama,2026,14
Alaska,2015,2
Alaska,2016,2
Alaska,2017,2
Alaska,2018,2
Alaska,2020,2
Alaska,2021,2
Alaska,2022,2
Alaska,2023,2
Alaska,2024,2
Alaska,2025,3
Alaska,2026,3
Arizona,2015,8
Arizona,2016,8
Arizona,2017,8
Arizona,2018,8
Arizona,2020,8
Arizona,2021,8
Arizona,2022,8
Arizona,2023,8
Arizona,2024,8
Arizona,2025,9
Arizona,2026,9
Arkansas,2015,8
Arkansas,2016,8
Arkansas,2017,8
Arkansas,2018,8
Arkansas,2020,7
Arkansas,2021,7
Arkansas,2022,7
Arkansas,2023,8
Arkansas,2024,8
Arkansas,2025,8
Arkansas,2026,8
California,2015,19
California,2016,19
California,2017,19
California,2018,19
California,2020,17
California,2021,17
California,2022,17
California,2023,18
California,2024,18
California,2025,18
California,2026,18
Colorado,2015,5
Colorado,2016,5
Colorado,2017,5
Colorado,2018,5
Colorado,2020,5
Colorado,2021,5
Colorado,2022,5
Colorado,2023,5
Colorado,2024,5
Colorado,2025,5
Colorado,2026,5
Connecticut,2015,8
Connecticut,2016,8
Connecticut,2017,8
Connecticut,2018,8
Connecticut,2020,8
Connecticut,2021,8
Connecticut,2022,8
Connecticut,2023,8
Connecticut,2024,8
Connecticut,2025,8
Connecticut,2026,8
Delaware,2015,3
Delaware,2016,3
Delaware,2017,3
Delaware,2018,3
Delaware,2020,3
Delaware,2021,3
Delaware,2022,2
Delaware,2023,4
Delaware,2024,4
Delaware,2025,4
Delaware,2026,4
District of Columbia,2015,2
District of Columbia,2016,2
District of Columbia,2017,2
District of Columbia,2018,2
District of Columbia,2020,1
District of Columbia,2021,1
District of Columbia,2022,1
District of Columbia,2023,2
District of Columbia,2024,2
District of Columbia,2025,2
District of Columbia,2026,2
Florida,2015,27
Florida,2016,27
Florida,2017,27
Florida,2018,27
Florida,2020,27
Florida,2021,27
Florida,2022,27
Florida,2023,27
Florida,2024,27
Florida,2025,27
Florida,2026,27
Georgia,2015,16
Georgia,2016,16
Georgia,2017,16
Georgia,2018,16
Georgia,2020,15
Georgia,2021,15
Georgia,2022,15
Georgia,2023,16
Georgia,2024,16
Georgia,2025,16
Georgia,2026,16
Hawaii,2015,2
Hawaii,2016,2
Hawaii,2017,2
Hawaii,2018,2
Hawaii,2020,2
Hawaii,2021,2
Hawaii,2022,2
Hawaii,2023,2
Hawaii,2024,2
Hawaii,2025,2
Hawaii,2026,2
Idaho,2015,5
Idaho,2016,5
Idaho,2017,5
Idaho,2018,5
Idaho,2020,5
Idaho,2021,5
Idaho,2022,5
Idaho,2023,5
Idaho,2024,5
Idaho,2025,6
Idaho,2026,6
Illinois,2015,15
Illinois,2016,15
Illinois,2017,15
Illinois,2018,15
Illinois,2020,11
Illinois,2021,11
Illinois,2022,11
Illinois,2023,16
Illinois,2024,16
Illinois,2025,15
Illinois,2026,15
Indiana,2015,14
Indiana,2016,14
Indiana,2017,14
Indiana,2018,14
Indiana,2020,12
Indiana,2021,12
Indiana,2022,12
Indiana,2023,14
Indiana,2024,14
